,right_touch,left_touch,right_x_N,left_x_N,right_z_N,left_z_N,A_HFL,A_GLU,A_VAS,A_SOL,A_GAS,A_TA,A_HAM,A_RF,A_L_HFL,A_L_GLU,A_L_VAS,A_L_SOL,A_L_GAS,A_L_TA,A_L_HAM,A_L_RF,theta,hip,L_hip,knee,L_knee,ankle,L_ankle
10,0.0,1.0,0.0,11.669966923070803,0.0,607.2252531045117,0.27220419698099907,0.007365537957964125,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2547627566395368,0.017195528482979557,0.019841060997583426,0.0076328987295273265,0.37834088306276326,0.0,0.04409861477161966,0.04382062518103193,0.044080344284556795,0.31678093122494916,0.012487618174180426,0.2322647135836878,-0.47182790913702577,0.3028197954692738,-0.06289420181161592,-0.06345455666064806,-0.6147194765824184,0.05803188575143317
11,0.0,1.0,0.0,-2.2937276861971014,0.0,672.4730914039975,0.27209237745458104,0.007272260506489025,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.25594374398409636,0.015923687005349338,0.019841060997583426,0.0076328987295273265,0.3442461256969884,0.0,0.044097637324765335,0.04446346372672411,0.04570043475505727,0.2965206807761946,0.012487618174180426,0.2328148862366215,-0.4710767365527117,0.29945075366439716,-0.07317664396943137,-0.06421882172854643,-0.6325077349694861,0.023894332974997295
12,0.0,1.0,0.0,7.929055446989455,0.0,599.8396963271259,0.27256457300827586,0.007192374929367458,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2571451834300244,0.014859727788129683,0.019841060997583426,0.0076328987295273265,0.3143063890393568,0.0,0.04355610590524092,0.0448814298377865,0.04750986481856231,0.2783248356103989,0.012487618174180426,0.23300055671396994,-0.46993327999912127,0.29571223507935174,-0.0844082105806118,-0.0643960498938657,-0.6498377362523228,-0.011084355028008967
13,0.0,1.0,0.0,14.158349264875874,0.0,550.1987934045327,0.2734395745991988,0.007127151901615066,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.25833147233782794,0.013971557853187313,0.019841060997583426,0.0076328987295273265,0.2919852653524173,0.0,0.042601879483899534,0.04496556581118477,0.049462357016502055,0.26454907814220957,0.012487618174180426,0.2328379746568442,-0.46840520153607423,0.2916176443140439,-0.09654475897438641,-0.06403706094364373,-0.6666687698682856,-0.04674710555425099
14,0.0,1.0,0.0,18.21975881740508,0.0,513.6565675751581,0.27452023242651863,0.0070704905162025785,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.25948610716393145,0.013209783636931649,0.019841060997583426,0.0076328987295273265,0.27071148318563665,0.0,0.0416116739685262,0.044874895727034916,0.05143601249431445,0.2510663263700631,0.012487618174180426,0.2323564940147767,-0.466486231979922,0.28720165264597874,-0.10955330433281035,-0.06321323115048641,-0.6829729439860299,-0.08302349253539794
15,0.0,1.0,0.0,21.01145992493035,0.0,484.5426945991106,0.27579326304765617,0.007018219406371248,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.26060052918887355,0.012541515980488584,0.019841060997583426,0.0076328987295273265,0.24978379638914022,0.0,0.04065838374054411,0.044654874852966334,0.05340813734791631,0.23744271796819752,0.012487618174180426,0.2315899636942199,-0.4641650224807498,0.28250663107531965,-0.12340611375686027,-0.06200136333574109,-0.6987309737956299,-0.11989014640131167
16,0.0,1.0,0.0,22.835868706746155,0.0,461.2521178375646,0.2772330084668183,0.006970639456989532,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2616702573549589,0.011954410155311398,0.019841060997583426,0.0076328987295273265,0.22982371020785397,0.0,0.039685479188831044,0.044229149143394875,0.05540050038723804,0.22410843263364844,0.012487618174180426,0.23056880563309887,-0.46145008309370056,0.27757352656601664,-0.13823063963464788,-0.06047603491723131,-0.7098925285847668,-0.15735297569816392
17,0.0,1.0,0.0,24.14745535217549,0.0,438.61402781175656,0.27880353932238416,0.006927498087505322,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.26269307769867534,0.011436789192255287,0.019841060997583426,0.0076328987295273265,0.2110824681589329,0.0,0.03885130629667423,0.04379146822826964,0.05736598164539721,0.2112603063484798,0.012487618174180426,0.22932649495039198,-0.4583273848331446,0.27244335806415115,-0.15403919494427806,-0.0587083793856667,-0.7158576710094798,-0.19542048943780876
18,0.0,1.0,0.0,-1492.0143268129486,0.0,3814.3551919808638,0.2805027541550275,0.006887610126526253,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2636678692743813,0.010964662126470823,0.019841060997583426,0.0076328987295273265,0.19328099630904433,0.0,0.038204417827973146,0.04340075862002857,0.059278073978261174,0.19875066942056344,0.012487618174180426,0.22859414106568285,-0.45402980371800705,0.2668653881133243,-0.17114591111322613,-0.05637368998414238,-0.7184786412792827,-0.22718970111027637
19,0.0,1.0,0.0,-689.1307450429396,0.0,2215.0722957174416,0.28233258202735684,0.00685157300927057,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2645944598371663,0.010545920537357402,0.019841060997583426,0.0076328987295273265,0.1769719051102505,0.0,0.03768988091752925,0.0430024091233325,0.06114771023639034,0.18696971039239357,0.012487618174180426,0.23020637025641355,-0.4466623741526329,0.2601446754776927,-0.19040718937496087,-0.05243509864371184,-0.7190097646035302,-0.23533578929132387
20,0.0,1.0,0.0,-303.5432294843755,0.0,1279.0698262125734,0.28380506770386554,0.00685784576149802,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2654733014334456,0.010318314560429715,0.019841060997583426,0.0076328987295273265,0.2715957899329312,0.0,0.037283071761689046,0.042593856489885645,0.06297865205059093,0.24703733322630542,0.012487618174180426,0.23292839554959122,-0.4376205121686191,0.2527967516908426,-0.21091075969727052,-0.04740810306502029,-0.7182852532872375,-0.2329234567819752
21,0.0,1.0,0.0,-127.52802555551119,0.0,877.5292168325525,0.2810643391404301,0.006867348688027891,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.26617048429495577,0.010313101903247666,0.019841060997583426,0.0076328987295273265,0.3921855431536206,0.0,0.03697184727094161,0.0421700518007536,0.06477204355608626,0.3262441283949192,0.012487618174180426,0.23599547599513526,-0.4277509396856856,0.24499391910798785,-0.23211283617468859,-0.04145711584132917,-0.7168576672033764,-0.22695384535968832
22,0.0,1.0,0.0,-46.522177158082144,0.0,722.7615870667867,0.2756298800852679,0.006833184667158293,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.266549369030489,0.010132400673496909,0.019841060997583426,0.0076328987295273265,0.44458566871893224,0.0,0.03675401026517964,0.04173836139619174,0.06652619056146744,0.362771146467998,0.012487618174180426,0.23901677301565682,-0.4174621071478379,0.23675020544504619,-0.25372893455323253,-0.034578134792694094,-0.7150867003107594,-0.22051644563926315
23,0.0,1.0,0.0,-13.106669128112259,0.0,675.5248238110344,0.2691186824443192,0.00680073911547773,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2667262812808129,0.00988528430055403,0.019841060997583426,0.0076328987295273265,0.46345253718639334,0.0,0.04002795861455362,0.04629487437111978,0.06702689754587093,0.37810034664271464,0.012487618174180426,0.24179255793877405,-0.40694933420675,0.22802762452988154,-0.2756014274924279,-0.026699714145996152,-0.7132009219651207,-0.21495760105691702
24,0.0,1.0,0.0,-7.594575840232949,0.0,667.04681039868,0.2623183827865677,0.00677043437600807,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.26677740730588523,0.009621550910913795,0.019841060997583426,0.0076328987295273265,0.4639131049074525,0.0,0.06967853595904346,0.06549434842654747,0.05790695709769085,0.38154874874570976,0.012487618174180426,0.2442348531851161,-0.39629647480373137,0.21877663567946048,-0.2976417997853556,-0.017728079599921277,-0.7113404679964593,-0.21080641122365182
25,0.0,1.0,0.0,-13.131030939617887,0.0,667.0363837422549,0.2556232338029636,0.006742001787412802,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2667523466337592,0.009363917837935961,0.019841060997583426,0.0076328987295273265,0.45468102536120886,0.0,0.08708621987154416,0.07308040371537344,0.05220447684968028,0.3785097903003203,0.012487618174180426,0.24631878445769143,-0.3855312091809712,0.20893122305587128,-0.31979892048452946,-0.0075210154923846355,-0.7095864870877239,-0.2082554415449767
